PANTONE 100 C,#F7EA5F,247,234,95
PANTONE 100 U,#FEF27E,254,242,126
PANTONE 101 C,#F8E946,248,233,70
PANTONE 101 U,#FFEF65,255,239,101
PANTONE 102 C,#FDE300,253,227,0
PANTONE 102 U,#FFEC28,255,236,40
PANTONE 103 C,#C6A900,198,169,0
PANTONE 103 U,#B59E28,181,158,40
PANTONE 104 C,#B19700,177,151,0
PANTONE 104 U,#9B8C37,155,140,55
PANTONE 105 C,#8B7A27,139,122,39
PANTONE 105 U,#7D7446,125,116,70
PANTONE 106 C,#FBE343,251,227,67
PANTONE 106 U,#FFEA65,255,234,101
PANTONE 107 C,#FEE01E,254,224,30
PANTONE 107 U,#FFE450,255,228,80
PANTONE 108 C,#FFDB00,255,219,0
PANTONE 108 U,#FFDC32,255,220,50
PANTONE 109 C,#FFD100,255,209,0
PANTONE 109 U,#FFC700,255,199,0
PANTONE 110 C,#DBA900,219,169,0
PANTONE 110 U,#CD9F24,205,159,36
PANTONE 111 C,#AC8900,172,137,0
PANTONE 111 U,#9B8638,155,134,56
PANTONE 112 C,#9D830F,157,131,15
PANTONE 112 U,#8A7A3E,138,122,62
PANTONE 113 C,#FDDF50,253,223,80
PANTONE 113 U,#FFE05E,255,224,94
PANTONE 114 C,#FEDD3C,254,221,60
PANTONE 114 U,#FFD847,255,216,71
PANTONE 115 C,#FFD923,255,217,35
PANTONE 115 U,#FFCD29,255,205,41
PANTONE 116 C,#FFCD00,255,205,0
PANTONE 116 U,#FFB408,255,180,8
PANTONE 117 C,#CC9700,204,151,0
PANTONE 117 U,#B78B2E,183,139,46
PANTONE 118 C,#AE8400,174,132,0
PANTONE 118 U,#9E8038,158,128,56
PANTONE 119 C,#8A731F,138,115,31
PANTONE 119 U,#847647,132,118,71
PANTONE 120 C,#FEDA63,254,218,99
PANTONE 120 U,#FFD968,255,217,104
PANTONE 1205 C,#F9DF8D,249,223,141
PANTONE 1205 U,#FFE394,255,227,148
PANTONE 121 C,#FFD755,255,215,85
PANTONE 121 U,#FFCB50,255,203,80
PANTONE 1215 C,#FED671,254,214,113
PANTONE 1215 U,#FFD97C,255,217,124
PANTONE 122 C,#FFD03E,255,208,62
PANTONE 122 U,#FFC03D,255,192,61
PANTONE 1225 C,#FFC842,255,200,66
PANTONE 1225 U,#FFBA4D,255,186,77
PANTONE 123 C,#FFC627,255,198,39
PANTONE 123 U,#FFAC25,255,172,37
PANTONE 1235 C,#FFB718,255,183,24
PANTONE 1235 U,#FFAD38,255,173,56
PANTONE 124 C,#EDA900,237,169,0
PANTONE 124 U,#D99132,217,145,50
PANTONE 1245 C,#C9910D,201,145,13
PANTONE 1245 U,#BB8A3F,187,138,63
PANTONE 125 C,#B78400,183,132,0
PANTONE 125 U,#A6803A,166,128,58
PANTONE 1255 C,#AF841D,175,132,29
PANTONE 1255 U,#A18045,161,128,69
PANTONE 126 C,#9D760C,157,118,12
PANTONE 126 U,#8E7641,142,118,65
PANTONE 1265 C,#8A6B24,138,107,36
PANTONE 1265 U,#887447,136,116,71
PANTONE 127 C,#F5DB6B,245,219,107
PANTONE 127 U,#FCE182,252,225,130
PANTONE 128 C,#F7D44B,247,212,75
PANTONE 128 U,#FECD60,254,205,96
PANTONE 129 C,#F6CE3C,246,206,60
PANTONE 129 U,#FEAD3C,254,173,60
PANTONE 130 C,#F7A700,247,167,0
PANTONE 130 U,#FC992E,252,153,46
PANTONE 131 C,#D08900,208,137,0
PANTONE 131 U,#BE7E33,190,126,51
PANTONE 132 C,#A37300,163,115,0
PANTONE 132 U,#99793D,153,121,61
PANTONE 133 C,#6E561B,110,86,27
PANTONE 133 U,#7C6F46,124,111,70
PANTONE 134 C,#FFD16C,255,209,108
PANTONE 134 U,#FFD276,255,210,118
PANTONE 1345 C,#FECF84,254,207,132
PANTONE 1345 U,#FFD490,255,212,144
PANTONE 135 C,#FFC556,255,197,86
PANTONE 135 U,#FFC265,255,194,101
PANTONE 1355 C,#FFC56C,255,197,108
PANTONE 1355 U,#FFC87E,255,200,126
PANTONE 136 C,#FFBF3B,255,191,59
PANTONE 136 U,#FFAC48,255,172,72
PANTONE 1365 C,#FFB546,255,181,70
PANTONE 1365 U,#FFAC5A,255,172,90
PANTONE 137 C,#FFA300,255,163,0
PANTONE 137 U,#FFA035,255,160,53
PANTONE 1375 C,#FF9E15,255,158,21
PANTONE 1375 U,#FF993E,255,153,62
PANTONE 138 C,#E17C00,225,124,0
PANTONE 138 U,#D57B2F,213,123,47
PANTONE 1385 C,#D87800,216,120,0
PANTONE 1385 U,#CF7D3D,207,125,61
PANTONE 139 C,#B26D00,178,109,0
PANTONE 139 U,#9E6E3C,158,110,60
PANTONE 1395 C,#9C5F15,156,95,21
PANTONE 1395 U,#956D42,149,109,66
PANTONE 140 C,#755319,117,83,25
PANTONE 140 U,#806944,128,105,68
PANTONE 1405 C,#704B1C,112,75,28
PANTONE 1405 U,#7A6446,122,100,70
PANTONE 141 C,#F6C55B,246,197,91
PANTONE 141 U,#FBBF6D,251,191,109
PANTONE 142 C,#F5BD47,245,189,71
PANTONE 142 U,#FBAE5C,251,174,92
PANTONE 143 C,#F6B333,246,179,51
PANTONE 143 U,#FB9E4E,251,158,78
PANTONE 144 C,#F38A00,243,138,0
PANTONE 144 U,#F78A3B,247,138,59
PANTONE 145 C,#D57E00,213,126,0
PANTONE 145 U,#CC7D38,204,125,56
PANTONE 146 C,#AB6B0E,171,107,14
PANTONE 146 U,#9E7340,158,115,64
PANTONE 147 C,#735B28,115,91,40
PANTONE 147 U,#776849,119,104,73
PANTONE 148 C,#FFCB8A,255,203,138
PANTONE 148 U,#FFC586,255,197,134
PANTONE 1485 C,#FFAD5E,255,173,94
PANTONE 1485 U,#FFA660,255,166,96
PANTONE 149 C,#FFC27A,255,194,122
PANTONE 149 U,#FFB573,255,181,115
PANTONE 1495 C,#FF8F12,255,143,18
PANTONE 1495 U,#FF934E,255,147,78
PANTONE 150 C,#FFB258,255,178,88
PANTONE 150 U,#FF9954,255,153,84
PANTONE 1505 C,#FF6A00,255,106,0
PANTONE 1505 U,#FF8135,255,129,53
PANTONE 151 C,#FF8300,255,131,0
PANTONE 151 U,#FF873B,255,135,59
PANTONE 152 C,#E97200,233,114,0
PANTONE 152 U,#E3793D,227,121,61
PANTONE 1525 C,#BD4600,189,70,0
PANTONE 1525 U,#BE6437,190,100,55
PANTONE 153 C,#C16A10,193,106,16
PANTONE 153 U,#AD6E41,173,110,65
PANTONE 1535 C,#974508,151,69,8
PANTONE 1535 U,#976240,151,98,64
PANTONE 154 C,#9E5916,158,89,22
PANTONE 154 U,#926743,146,103,67
PANTONE 1545 C,#683816,104,56,22
PANTONE 1545 U,#7B5E48,123,94,72
PANTONE 155 C,#F3D09E,243,208,158
PANTONE 155 U,#FAC895,250,200,149
PANTONE 1555 C,#FFB98D,255,185,141
PANTONE 1555 U,#FFC29C,255,194,156
PANTONE 156 C,#F2BC7B,242,188,123
PANTONE 156 U,#FBB883,251,184,131
PANTONE 1565 C,#FFA167,255,161,103
PANTONE 1565 U,#FFAA81,255,170,129
PANTONE 157 C,#F19F53,241,159,83
PANTONE 157 U,#F69462,246,148,98
PANTONE 1575 C,#FF7E2E,255,126,46
PANTONE 1575 U,#FF9562,255,149,98
PANTONE 158 C,#EF7521,239,117,33
PANTONE 158 U,#F37D4A,243,125,74
PANTONE 1585 C,#FF6B0B,255,107,11
PANTONE 1585 U,#FF844E,255,132,78
PANTONE 159 C,#D25D12,210,93,18
PANTONE 159 U,#CD6F46,205,111,70
PANTONE 1595 C,#DC5F13,220,95,19
PANTONE 1595 U,#D77045,215,112,69
PANTONE 160 C,#A5541A,165,84,26
PANTONE 160 U,#A06A45,160,106,69
PANTONE 1605 C,#A95521,169,85,33
PANTONE 1605 U,#A86B4B,168,107,75
PANTONE 161 C,#633C20,99,60,32
PANTONE 161 U,#776149,119,97,73
PANTONE 1615 C,#8E471E,142,71,30
PANTONE 1615 U,#946449,148,100,73
PANTONE 162 C,#FFBE9E,255,190,158
PANTONE 162 U,#FFBA98,255,186,152
PANTONE 1625 C,#FFA388,255,163,136
PANTONE 1625 U,#FFA88F,255,168,143
PANTONE 163 C,#FF9D6B,255,157,107
PANTONE 163 U,#FF9B75,255,155,117
PANTONE 1635 C,#FF8D6A,255,141,106
PANTONE 1635 U,#FF967C,255,150,124
PANTONE 164 C,#FF7F3F,255,127,63
PANTONE 164 U,#FF855D,255,133,93
PANTONE 1645 C,#FF6B35,255,107,53
PANTONE 1645 U,#FF7F60,255,127,96
PANTONE 165 C,#FF661B,255,102,27
PANTONE 165 U,#FF7546,255,117,70
PANTONE 1655 C,#FF4C00,255,76,0
PANTONE 1655 U,#FF704B,255,112,75
PANTONE 166 C,#E75200,231,82,0
PANTONE 166 U,#E5653E,229,101,62
PANTONE 1665 C,#E24301,226,67,1
PANTONE 1665 U,#E96847,233,104,71
